,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
65,85,65,85,65,85,65,85,65,85,65,85,693,69,576,634,4146,8712,83035,,2021-05-30 09:21:00,2021-05-30 09:48:00,,,91,130,,11.61,59.05,2.75,0.0,0.0,0.0,,0.3,62.1,,,
58,23,71,29,76,20,43,41,61,31,80,25,788,121,904,2088,4082,3643,38171,2.0,2021-05-24 16:16:16,2021-05-24 17:01:36,N,1.0,197,49,1.0,12.55,41.0,1.0,0.5,0.0,0.0,,0.3,42.8,1.0,1.0,0.0
12,78,72,49,5,93,83,46,17,24,45,15,55,582,831,526,2626,2747,51238,,2021-05-08 08:48:00,2021-05-08 09:08:00,,,200,168,,9.76,43.45,2.75,0.0,0.0,0.0,,0.3,46.5,,,
88,88,88,88,88,88,88,88,88,88,88,88,497,361,17,2825,2210,4484,24007,2.0,2021-05-16 12:06:48,2021-05-16 12:12:46,N,1.0,166,116,2.0,1.25,6.5,0.0,0.5,2.19,0.0,,0.3,9.49,1.0,1.0,0.0
70,19,8,54,28,82,81,37,56,11,92,21,481,632,776,910,4695,4625,41910,2.0,2021-05-26 16:18:53,2021-05-26 16:23:06,N,1.0,42,74,1.0,0.68,4.5,1.0,0.5,0.0,0.0,,0.3,6.3,2.0,1.0,0.0
87,12,78,72,49,5,93,83,46,17,24,45,783,937,802,991,4115,1702,72470,,2021-05-07 13:41:00,2021-05-07 13:57:00,,,92,9,,3.0,18.61,2.75,0.0,0.0,0.0,,0.3,21.66,,,
36,18,33,68,14,7,73,97,64,79,77,94,638,893,227,98,2831,3299,16120,1.0,2021-05-11 12:35:11,2021-05-11 12:50:29,N,1.0,74,238,1.0,2.4,12.0,2.75,0.5,4.0,0.0,,0.3,19.55,1.0,1.0,2.75
21,62,66,32,90,87,12,78,72,49,5,93,279,172,145,1702,2591,7918,54213,,2021-05-13 10:06:00,2021-05-13 10:46:00,,,35,191,,12.45,52.68,2.75,0.0,0.0,0.0,,0.3,55.73,,,
83,46,17,24,45,15,30,60,10,53,34,51,295,167,942,2483,4335,5109,25666,1.0,2021-05-17 13:14:45,2021-05-17 13:23:51,N,1.0,74,74,1.0,1.3,8.0,0.0,0.5,2.0,0.0,,0.3,10.8,1.0,1.0,0.0
9,95,96,67,84,39,74,98,47,40,1,86,236,680,843,1521,3405,3896,20821,1.0,2021-05-14 11:48:14,2021-05-14 12:25:56,N,1.0,250,75,1.0,0.0,22.2,0.0,0.5,0.0,0.0,,0.3,23.0,1.0,1.0,0.0
96,67,84,39,74,98,47,40,1,86,58,23,311,924,42,4643,698,1746,37271,1.0,2021-05-24 08:06:42,2021-05-24 08:59:53,N,1.0,175,237,1.0,0.0,36.2,0.0,0.5,0.0,6.55,,0.3,43.55,1.0,1.0,0.0
67,84,39,74,98,47,40,1,86,58,23,71,299,10,496,4366,2022,4853,25818,2.0,2021-05-17 14:51:53,2021-05-17 15:00:40,N,1.0,244,42,1.0,1.45,8.0,0.0,0.5,0.0,0.0,,0.3,8.8,2.0,1.0,0.0
64,79,77,94,9,95,96,67,84,39,74,98,367,345,337,1116,1380,509,14614,2.0,2021-05-10 13:41:15,2021-05-10 14:48:38,N,1.0,193,157,1.0,5.63,43.0,0.0,0.5,0.0,0.0,,0.3,43.8,1.0,1.0,0.0
47,40,1,86,58,23,71,29,76,20,43,41,996,192,435,2311,4684,6361,87365,,2021-05-03 11:57:00,2021-05-03 12:14:00,,,89,189,,2.72,21.37,2.75,0.0,0.0,0.0,,0.3,24.42,,,
44,4,75,69,89,70,19,8,54,28,82,81,456,912,82,3528,2295,22,9981,1.0,2021-05-07 13:32:48,2021-05-07 13:47:01,N,1.0,97,49,1.0,1.4,10.0,0.0,0.5,0.0,0.0,,0.3,10.8,2.0,1.0,0.0
