,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
43,41,61,31,80,25,48,38,63,57,35,27,103,902,774,10469,2.0,2021-06-06 17:44:47,2021-06-06 17:49:16,N,1.0,41,24,1.0,0.56,5.0,0.0,0.5,0.0,0.0,,0.3,5.8,2.0,1.0,0.0
62,66,32,90,87,12,78,72,49,5,93,83,982,396,159,1466,2.0,2021-06-01 18:37:04,2021-06-01 18:52:13,N,1.0,75,166,1.0,2.3,11.5,1.0,0.5,1.0,0.0,,0.3,14.3,1.0,1.0,0.0
3,55,50,91,36,18,33,68,14,7,73,97,108,958,966,73303,,2021-06-23 07:26:00,2021-06-23 07:38:00,,,95,93,,2.02,12.39,2.75,0.0,0.0,0.0,,0.3,15.44,,,
71,29,76,20,43,41,61,31,80,25,48,38,918,57,270,14596,2.0,2021-06-09 06:24:30,2021-06-09 06:40:36,N,1.0,116,100,1.0,6.31,20.0,0.0,0.5,2.0,0.0,,0.3,25.55,1.0,1.0,2.75
45,15,30,60,10,53,34,51,59,52,0,26,45,783,937,77098,,2021-06-19 05:11:00,2021-06-19 05:23:00,,,205,93,,4.48,42.81,2.75,0.0,0.0,0.0,,0.3,45.86,,,
48,38,63,57,35,27,99,44,4,75,69,89,874,387,447,659,1.0,2021-06-01 11:36:23,2021-06-01 11:45:08,N,1.0,74,43,1.0,1.5,8.0,0.0,0.5,2.0,0.0,,0.3,10.8,1.0,1.0,0.0
6,16,22,3,55,50,91,36,18,33,68,14,578,761,965,45025,2.0,2021-06-25 17:58:40,2021-06-25 18:08:00,N,1.0,74,42,1.0,1.01,7.5,1.0,0.5,0.0,0.0,,0.3,9.3,1.0,1.0,0.0
99,44,4,75,69,89,70,19,8,54,28,82,386,588,153,3003,2.0,2021-06-02 16:00:12,2021-06-02 16:05:51,N,1.0,152,166,1.0,1.1,6.0,0.0,0.5,0.0,0.0,,0.3,6.8,2.0,1.0,0.0
82,81,37,56,11,92,21,62,66,32,90,87,501,185,922,27713,2.0,2021-06-16 12:26:05,2021-06-16 13:23:30,N,1.0,130,170,1.0,14.9,51.0,0.0,0.5,0.0,6.55,,0.3,58.35,1.0,1.0,0.0
76,20,43,41,61,31,80,25,48,38,63,57,270,711,871,56584,,2021-06-09 15:40:00,2021-06-09 16:25:00,,,121,35,,8.67,45.2,2.75,0.0,0.0,0.0,,0.3,48.25,,,
60,10,53,34,51,59,52,0,26,6,16,22,310,938,28,25779,1.0,2021-06-15 12:36:07,2021-06-15 13:18:09,N,1.0,33,236,1.0,9.8,36.5,2.75,0.5,0.0,0.0,,0.3,40.05,2.0,1.0,2.75
80,25,48,38,63,57,35,27,99,44,4,75,412,577,742,30418,2.0,2021-06-17 17:21:45,2021-06-17 18:18:41,N,2.0,41,132,1.0,15.03,52.0,4.5,0.5,12.77,6.55,,0.3,76.62,1.0,1.0,0.0
90,87,12,78,72,49,5,93,83,46,17,24,883,962,448,16737,2.0,2021-06-10 08:24:42,2021-06-10 08:34:35,N,1.0,74,166,1.0,1.71,8.5,0.0,0.5,1.86,0.0,,0.3,11.16,1.0,1.0,0.0
68,14,7,73,97,64,79,77,94,9,95,96,568,63,202,62346,,2021-06-18 04:57:00,2021-06-18 05:02:00,,,165,165,,0.69,19.82,2.75,0.0,0.0,0.0,,0.3,22.87,,,
51,59,52,0,26,6,16,22,3,55,50,91,494,205,620,8838,2.0,2021-06-05 15:36:49,2021-06-05 15:41:53,N,1.0,33,33,1.0,0.64,5.0,0.0,0.5,0.0,0.0,,0.3,5.8,2.0,1.0,0.0
27,99,44,4,75,69,89,70,19,8,54,28,760,727,44,54943,,2021-06-11 11:17:00,2021-06-11 11:27:00,,,91,35,,2.17,26.27,2.75,0.0,0.0,0.0,,0.3,29.32,,,
18,33,68,14,7,73,97,64,79,77,94,9,706,176,240,34855,1.0,2021-06-20 09:49:33,2021-06-20 09:52:38,N,1.0,173,173,1.0,0.4,4.0,0.0,0.5,0.0,0.0,,0.3,4.8,2.0,1.0,0.0
56,11,92,21,62,66,32,90,87,12,78,72,740,579,137,41042,2.0,2021-06-23 17:52:34,2021-06-23 18:17:10,N,1.0,43,230,1.0,3.21,17.0,1.0,0.5,2.0,0.0,,0.3,23.55,1.0,1.0,2.75
63,57,35,27,99,44,4,75,69,89,70,19,77,796,464,59088,,2021-06-16 03:59:00,2021-06-16 04:20:00,,,78,75,,6.96,29.89,2.75,0.0,0.0,0.0,,0.3,32.94,,,
74,98,47,40,1,86,58,23,71,29,76,20,31,710,764,29834,2.0,2021-06-17 12:03:25,2021-06-17 13:35:09,N,1.0,156,38,1.0,31.67,91.5,0.0,0.5,0.0,6.12,,0.3,98.42,1.0,1.0,0.0
1,86,58,23,71,29,76,20,43,41,61,31,710,764,917,13371,2.0,2021-06-08 11:14:18,2021-06-08 11:25:14,N,1.0,168,152,1.0,2.06,9.5,0.0,0.5,0.0,0.0,,0.3,10.3,2.0,1.0,0.0
61,31,80,25,48,38,63,57,35,27,99,44,251,667,575,63894,,2021-06-11 20:33:00,2021-06-11 20:50:00,,,17,181,,2.1,18.95,2.75,0.0,0.0,0.0,,0.3,22.0,,,
42,42,42,42,42,42,42,42,42,42,42,42,635,517,626,65912,,2021-06-24 13:44:00,2021-06-24 13:59:00,,,102,95,,2.08,18.95,2.75,0.0,0.0,0.0,,0.3,22.0,,,
41,61,31,80,25,48,38,63,57,35,27,99,644,426,830,31997,1.0,2021-06-18 14:58:29,2021-06-18 15:23:19,N,1.0,74,166,1.0,1.8,15.5,0.0,0.5,0.0,0.0,,0.3,16.3,2.0,1.0,0.0
4,75,69,89,70,19,8,54,28,82,81,37,366,963,431,37730,2.0,2021-06-21 22:40:01,2021-06-21 22:45:03,N,1.0,18,20,1.0,0.94,5.5,0.5,0.5,0.0,0.0,,0.3,6.8,2.0,1.0,0.0
15,30,60,10,53,34,51,59,52,0,26,6,27,103,902,31916,2.0,2021-06-18 14:25:42,2021-06-18 14:43:02,N,1.0,75,140,1.0,2.7,13.5,0.0,0.5,0.0,0.0,,0.3,17.05,2.0,1.0,2.75
